Locality,PrecinctCode,PrecinctName,ActiveVoters,InactiveVoters,AllVoters,MilitaryVoters,OverseasVoters,TempVoters,TotalPrecinctsInLocality,TotalActiveVotersPrecinctLocality,TotalInActiveVotersPrecinctLocality,TotalAllVotersPrecinctLocality,TotalMilitaryVotersPrecinctLocality,TotalOverseasVotersPrecinctLocality,TotalFederalVotersPrecinctLocality,StateTotalLocality,TotalActiveVotersLocality,TotalInActiveVotersLocality,TotalAllVotersLocality,TotalMilitaryVotersLocality,TotalOverseasVotersLocality,TotalFederalVotersLocality,StateTotalPrecincts
Locality: 003 ALBEMARLE COUNTY,0503,503 - HOLLYMEAD,"3,158",163,"3,321",57,28,5,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0504,504 - FREE BRIDGE,"2,332",199,"2,531",17,19,2,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0506,506 - BAKER-BUTLER,"5,062",262,"5,324",104,28,9,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0507,507 - PANTOPS,"2,187",82,"2,269",17,17,3,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0601,601 - CROZET,"3,875",164,"4,039",49,31,8,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0602,602 - FREE UNION,"1,524",44,"1,568",14,13,9,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0603,603 - EARLYSVILLE,"3,382",133,"3,515",40,37,7,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0604,604 - BROWNSVILLE,"3,320",174,"3,494",30,25,5,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 003 ALBEMARLE COUNTY,0606,606 - MECHUMS RIVER,"3,898",149,"4,047",52,21,6,30,"84,734","5,363","90,097",871,732,202,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 005 ALLEGHANY COUNTY,0101,101 - ARRITT,"1,166",32,"1,198",6,2,1,12,"10,943",527,"11,470",67,10,4,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 005 ALLEGHANY COUNTY,0103,103 - DAMERON,406,14,420,4,,,12,"10,943",527,"11,470",67,10,4,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 005 ALLEGHANY COUNTY,0201,201 - HUMPBACK BRIDGE,649,36,685,6,2,,12,"10,943",527,"11,470",67,10,4,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 005 ALLEGHANY COUNTY,0202,202 - DOLLY ANN,939,68,"1,007",3,2,,12,"10,943",527,"11,470",67,10,4,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 005 ALLEGHANY COUNTY,0301,301 - CALLAGHAN,578,15,593,3,,,12,"10,943",527,"11,470",67,10,4,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 005 ALLEGHANY COUNTY,0302,302 - GRIFFITH,938,32,970,7,,,12,"10,943",527,"11,470",67,10,4,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 005 ALLEGHANY COUNTY,0401,401 - LOW MOOR,719,25,744,1,1,1,12,"10,943",527,"11,470",67,10,4,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 005 ALLEGHANY COUNTY,0402,402 - JACKSON HEIGHTS,"1,008",37,"1,045",6,,,12,"10,943",527,"11,470",67,10,4,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 005 ALLEGHANY COUNTY,0501,501 - IRON GATE,382,17,399,1,,,12,"10,943",527,"11,470",67,10,4,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 005 ALLEGHANY COUNTY,0502,502 - PETERS SWITCH,"1,260",47,"1,307",9,1,,12,"10,943",527,"11,470",67,10,4,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 005 ALLEGHANY COUNTY,0601,601 - DISTRICT 1,"1,409",83,"1,492",4,2,,12,"10,943",527,"11,470",67,10,4,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 005 ALLEGHANY COUNTY,0701,701 - DISTRICT 2,"1,489",121,"1,610",17,,2,12,"10,943",527,"11,470",67,10,4,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 007 AMELIA COUNTY,0101,101 - NUMBER ONE,"1,838",58,"1,896",26,,,5,"10,291",307,"10,598",132,14,5,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 007 AMELIA COUNTY,0201,201 - NUMBER TWO,"2,008",63,"2,071",27,4,2,5,"10,291",307,"10,598",132,14,5,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 007 AMELIA COUNTY,0301,301 - NUMBER THREE,"2,108",50,"2,158",32,5,1,5,"10,291",307,"10,598",132,14,5,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 007 AMELIA COUNTY,0401,401 - NUMBER FOUR,"2,230",74,"2,304",20,4,2,5,"10,291",307,"10,598",132,14,5,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 007 AMELIA COUNTY,0501,501 - NUMBER FIVE,"2,107",62,"2,169",27,1,,5,"10,291",307,"10,598",132,14,5,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 009 AMHERST COUNTY,0101,101 - WRIGHT SHOP,"1,588",58,"1,646",13,2,1,11,"23,044",850,"23,894",205,29,20,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 009 AMHERST COUNTY,0102,102 - NEW GLASGOW,"2,099",54,"2,153",22,,1,11,"23,044",850,"23,894",205,29,20,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 009 AMHERST COUNTY,0103,103 - COOLWELL,966,32,998,8,,,11,"23,044",850,"23,894",205,29,20,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 009 AMHERST COUNTY,0201,201 - COURT HOUSE,"3,196",141,"3,337",25,7,10,11,"23,044",850,"23,894",205,29,20,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 009 AMHERST COUNTY,0202,202 - TEMPERANCE,"1,202",30,"1,232",8,2,,11,"23,044",850,"23,894",205,29,20,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 009 AMHERST COUNTY,0301,301 - MONROE,"1,256",45,"1,301",13,3,1,11,"23,044",850,"23,894",205,29,20,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 009 AMHERST COUNTY,0302,302 - ELON,"3,049",93,"3,142",33,8,1,11,"23,044",850,"23,894",205,29,20,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 009 AMHERST COUNTY,0303,303 - PLEASANT VIEW,793,27,820,11,,,11,"23,044",850,"23,894",205,29,20,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 009 AMHERST COUNTY,0401,401 - AMELON,"3,396",133,"3,529",30,5,2,11,"23,044",850,"23,894",205,29,20,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 009 AMHERST COUNTY,0402,402 - LONCO,"1,194",68,"1,262",9,,,11,"23,044",850,"23,894",205,29,20,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 009 AMHERST COUNTY,0501,501 - MADISON,"4,305",169,"4,474",33,2,4,11,"23,044",850,"23,894",205,29,20,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 011 APPOMATTOX COUNTY,0101,101 - VERA,827,42,869,11,1,,9,"12,359",553,"12,912",122,10,1,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 011 APPOMATTOX COUNTY,0102,102 - PAMPLIN,"1,618",83,"1,701",18,3,,9,"12,359",553,"12,912",122,10,1,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 011 APPOMATTOX COUNTY,0201,201 - CHAP,583,26,609,4,,,9,"12,359",553,"12,912",122,10,1,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 011 APPOMATTOX COUNTY,0202,202 - SPOUT SPRING,"1,925",80,"2,005",17,2,,9,"12,359",553,"12,912",122,10,1,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 011 APPOMATTOX COUNTY,0301,301 - US  460,"1,182",51,"1,233",18,,1,9,"12,359",553,"12,912",122,10,1,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 011 APPOMATTOX COUNTY,0302,302 - STONEWALL,"1,437",67,"1,504",19,,,9,"12,359",553,"12,912",122,10,1,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 011 APPOMATTOX COUNTY,0401,401 - COURTHOUSE,"2,301",108,"2,409",20,3,,9,"12,359",553,"12,912",122,10,1,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 011 APPOMATTOX COUNTY,0501,501 - OAKVILLE,"1,739",63,"1,802",12,1,,9,"12,359",553,"12,912",122,10,1,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 011 APPOMATTOX COUNTY,0502,502 - AGEE,747,33,780,3,,,9,"12,359",553,"12,912",122,10,1,133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0101,101 - PRECINCT 101,"2,917",295,"3,212",63,29,16,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0102,102 - PRECINCT 102,"3,490",418,"3,908",31,81,32,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0103,103 - PRECINCT 103,"1,983",177,"2,160",56,38,34,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0104,104 - PRECINCT 104,"3,798",471,"4,269",39,66,34,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0105,105 - PRECINCT 105,"2,941",320,"3,261",62,69,20,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0106,106 - PRECINCT 106,"3,010",587,"3,597",111,54,30,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0107,107 - PRECINCT 107,"3,153",340,"3,493",32,74,40,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0108,108 - PRECINCT 108,"4,153",740,"4,893",117,93,48,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0109,109 - PRECINCT 109,"4,156",563,"4,719",87,72,18,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0110,110 - PRECINCT 110,"4,831",846,"5,677",214,143,57,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0111,111 - PRECINCT 111,"2,240",154,"2,394",31,57,21,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0112,112 - PRECINCT 112,"2,699",229,"2,928",70,79,41,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0113,113 - PRECINCT 113,"2,226",165,"2,391",35,43,10,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0114,114 - PRECINCT 114,"2,517",331,"2,848",35,47,23,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0115,115 - PRECINCT 115,"1,796",241,"2,037",33,49,19,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0116,116 - PRECINCT 116,"3,898",445,"4,343",34,104,39,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0117,117 - PRECINCT 117,"3,322",318,"3,640",58,78,39,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0118,118 - PRECINCT 118,"6,179","1,122","7,301",81,177,69,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0119,119 - PRECINCT 119,"5,146",922,"6,068",82,128,98,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0120,120 - PRECINCT 120,"3,081",165,"3,246",34,64,47,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0121,121 - PRECINCT 121,"1,797",177,"1,974",36,35,16,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0122,122 - PRECINCT 122,"3,004",306,"3,310",85,74,27,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0123,123 - PRECINCT 123,"3,003",194,"3,197",38,58,29,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0124,124 - PRECINCT 124,"4,167",342,"4,509",63,90,27,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0125,125 - PRECINCT 125,"2,975",294,"3,269",33,80,27,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0126,126 - PRECINCT 126,"3,694",524,"4,218",81,60,21,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0127,127 - PRECINCT 127,"3,461",348,"3,809",75,69,17,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0128,128 - PRECINCT 128,"4,021",495,"4,516",79,63,34,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0129,129 - PRECINCT 129,"2,939",145,"3,084",50,68,39,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0130,130 - PRECINCT 130,"3,382",312,"3,694",78,30,7,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0131,131 - PRECINCT 131,"2,988",177,"3,165",42,45,29,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0132,132 - PRECINCT 132,"1,423",177,"1,600",66,31,16,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0133,133 - PRECINCT 133,"3,140",169,"3,309",43,32,34,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0134,134 - PRECINCT 134,"2,750",143,"2,893",42,49,29,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0135,135 - PRECINCT 135,"3,368",169,"3,537",49,34,31,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0136,136 - PRECINCT 136,"3,397",283,"3,680",46,86,46,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0137,137 - PRECINCT 137,"2,770",126,"2,896",30,53,16,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
Locality: 013 ARLINGTON COUNTY,0138,138 - PRECINCT 138,"3,102",581,"3,683",86,44,19,54,"168,801","21,024","189,825","3,202","3,451","1,608",133,"6,000,602","447,112","6,447,714","133,891","26,965","13,578","2,536"
